Rk,Player,Tm,,Opp,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GmSc,Player-additional
1,Kawhi Leonard,LAC,,OKC,W,34:30,13,15,.867,3,4,.750,3,4,.750,2,4,6,6,4,0,2,2,32,+16,34.3,leonaka01
2,Evan Mobley,CLE,@,BRK,W,39:58,11,18,.611,0,1,.000,4,6,.667,5,11,16,3,1,4,0,1,26,+16,29.3,mobleev01
3,Brandon Ingram,NOP,,CHO,W,34:10,10,23,.435,1,6,.167,9,9,1.000,0,11,11,10,1,0,0,3,30,+17,28.0,ingrabr01
4,Shai Gilgeous-Alexander,OKC,@,LAC,L,26:51,10,15,.667,1,1,1.000,9,9,1.000,0,4,4,3,1,3,2,2,30,-1,27.1,gilgesh01
5,Spencer Dinwiddie,BRK,,CLE,L,42:07,9,15,.600,2,4,.500,5,6,.833,0,4,4,12,1,0,2,1,25,+9,25.9,dinwisp01
6,Quentin Grimes,NYK,@,ORL,L,38:25,10,18,.556,5,10,.500,0,0,,2,3,5,6,3,0,0,3,25,+17,24.7,grimequ01
7,Mikal Bridges,BRK,,CLE,L,34:03,11,19,.579,2,7,.286,8,8,1.000,1,5,6,1,0,0,1,3,32,-14,23.8,bridgmi01
8,Immanuel Quickley,NYK,@,ORL,L,41:47,7,17,.412,2,7,.286,9,10,.900,2,3,5,7,2,1,3,0,25,+7,22.4,quickim01
9,Jonas Valančiūnas,NOP,,CHO,W,34:02,10,16,.625,0,1,.000,0,0,,8,11,19,3,1,0,3,2,20,+14,21.0,valanjo01
10,Donovan Mitchell,CLE,@,BRK,W,33:29,11,24,.458,3,9,.333,6,9,.667,2,4,6,1,0,1,1,3,31,0,19.2,mitchdo01
11,Russell Westbrook,LAC,,OKC,W,29:37,8,13,.615,2,4,.500,6,8,.750,1,1,2,7,0,1,4,2,24,-1,19.1,westbru01
12,Bones Hyland,LAC,,OKC,W,25:48,6,13,.462,4,7,.571,0,1,.000,1,3,4,7,1,1,1,0,16,+32,16.1,hylanbo01
13,Franz Wagner,ORL,,NYK,W,31:37,7,12,.583,0,1,.000,2,2,1.000,0,3,3,6,2,1,2,2,16,+11,15.4,wagnefr01
14,Paolo Banchero,ORL,,NYK,W,34:09,7,17,.412,2,4,.500,5,6,.833,0,6,6,4,2,2,3,3,21,-9,15.3,banchpa01
15,Trey Murphy,NOP,,CHO,W,33:11,7,14,.500,4,8,.500,1,1,1.000,0,2,2,1,4,0,2,0,19,+10,15.3,murphtr02
16,Julius Randle,NYK,@,ORL,L,35:38,7,20,.350,2,9,.222,7,10,.700,0,9,9,4,0,2,1,4,23,+20,14.9,randlju01
17,Cole Anthony,ORL,,NYK,W,26:08,6,13,.462,4,6,.667,2,2,1.000,1,5,6,1,1,1,1,2,18,+15,14.1,anthoco01
18,Nicolas Batum,LAC,,OKC,W,18:37,4,6,.667,4,6,.667,0,0,,0,2,2,3,2,0,0,1,12,+34,13.7,batumni01
19,Josh Giddey,OKC,@,LAC,L,26:19,8,15,.533,2,5,.400,0,0,,3,0,3,4,0,0,2,1,18,-15,13.2,giddejo01
20,CJ McCollum,NOP,,CHO,W,36:15,8,19,.421,3,8,.375,1,1,1.000,0,2,2,3,1,0,0,2,20,+20,12.8,mccolcj01
21,Jarrett Allen,CLE,@,BRK,W,29:34,5,9,.556,0,0,,2,2,1.000,5,5,10,2,1,1,2,3,12,+1,12.6,allenja01
22,Naji Marshall,NOP,,CHO,W,21:06,6,10,.600,1,3,.333,3,4,.750,0,4,4,3,1,0,3,0,16,+10,12.3,marshna01
23,Joe Harris,BRK,,CLE,L,22:48,5,8,.625,5,8,.625,0,0,,0,3,3,0,0,0,0,1,15,+2,11.9,harrijo01
24,Terance Mann,LAC,,OKC,W,27:21,4,10,.400,2,6,.333,4,4,1.000,1,3,4,3,0,0,1,0,14,+32,11.3,mannte01
25,Nic Claxton,BRK,,CLE,L,33:37,4,10,.400,0,0,,3,4,.750,3,6,9,2,1,3,1,4,11,-4,11.0,claxtni01
26,Wendell Carter,ORL,,NYK,W,30:44,7,13,.538,2,5,.400,0,1,.000,1,7,8,0,0,0,0,3,16,-11,10.9,cartewe01
27,Jalen Williams,OKC,@,LAC,L,31:54,7,12,.583,2,4,.500,0,0,,1,2,3,4,0,0,2,4,16,-26,10.9,willija06
28,Nick Richards,CHO,@,NOP,L,29:36,3,4,.750,0,0,,3,3,1.000,3,11,14,1,0,0,1,5,9,-15,10.5,richani01
29,Svi Mykhailiuk,CHO,@,NOP,L,29:31,6,12,.500,3,8,.375,0,0,,0,2,2,1,1,0,1,1,15,-6,9.9,mykhasv01
30,Isaiah Hartenstein,NYK,@,ORL,L,15:56,3,3,1.000,0,0,,0,0,,2,2,4,3,0,2,0,2,6,-4,9.8,harteis01
31,Gordon Hayward,CHO,@,NOP,L,30:33,5,12,.417,1,5,.200,1,2,.500,0,3,3,6,1,0,2,0,12,-17,9.3,haywago01
32,Moritz Wagner,ORL,,NYK,W,17:16,2,6,.333,0,3,.000,7,8,.875,2,5,7,3,0,0,3,0,11,+16,9.2,wagnemo01
33,Isaac Okoro,CLE,@,BRK,W,29:48,4,5,.800,3,4,.750,0,0,,0,1,1,1,0,0,0,3,11,-8,8.9,okorois01
34,Mitchell Robinson,NYK,@,ORL,L,30:38,1,1,1.000,0,0,,0,0,,6,6,12,0,1,3,2,0,2,-3,8.8,robinmi01
35,Ivica Zubac,LAC,,OKC,W,23:45,2,3,.667,0,0,,2,2,1.000,1,9,10,1,0,2,1,1,6,-6,8.8,zubaciv01
36,Ousmane Dieng,OKC,@,LAC,L,15:45,4,6,.667,1,1,1.000,0,0,,1,3,4,1,1,0,1,0,9,-2,8.7,diengou01
37,Bryce McGowens,CHO,@,NOP,L,25:10,2,5,.400,0,3,.000,4,5,.800,0,1,1,6,0,1,1,1,8,+4,8.7,mcgowbr01
38,Darius Garland,CLE,@,BRK,W,39:26,4,16,.250,2,6,.333,3,3,1.000,0,1,1,8,3,0,3,2,13,+15,8.5,garlada01
39,Caris LeVert,CLE,@,BRK,W,22:18,3,7,.429,2,5,.400,4,4,1.000,1,2,3,2,2,0,3,4,12,+1,8.4,leverca01
40,Robert Covington,LAC,,OKC,W,4:32,3,3,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,7,-3,7.8,covinro01
41,Markelle Fultz,ORL,,NYK,W,34:14,4,11,.364,0,1,.000,2,2,1.000,0,1,1,8,1,1,3,2,10,-10,7.7,fultzma01
42,Jaylin Williams,OKC,@,LAC,L,25:49,3,7,.429,1,4,.250,1,2,.500,0,9,9,4,2,0,3,2,8,-5,7.6,willija07
43,Gary Harris,ORL,,NYK,W,27:11,3,7,.429,3,7,.429,0,0,,1,1,2,1,2,0,0,4,9,-10,7.4,harriga01
44,Royce O'Neale,BRK,,CLE,L,29:45,4,9,.444,2,5,.400,2,2,1.000,0,8,8,2,1,0,3,5,12,-6,7.1,onealro01
45,Caleb Houstan,ORL,,NYK,W,24:50,3,7,.429,2,5,.400,0,0,,2,3,5,1,0,2,2,1,8,+9,6.3,houstca01
46,Yuta Watanabe,BRK,,CLE,L,13:25,2,3,.667,0,1,.000,0,0,,0,1,1,2,2,0,0,1,4,+12,6.0,watanyu01
47,P.J. Washington,CHO,@,NOP,L,34:43,7,20,.350,2,10,.200,2,3,.667,0,2,2,2,1,0,3,2,18,-12,5.6,washipj01
48,Dennis Smith,CHO,@,NOP,L,21:54,4,8,.500,0,2,.000,0,0,,1,1,2,4,1,0,3,1,8,-7,5.4,smithde03
49,Kelly Oubre,CHO,@,NOP,L,12:07,4,10,.400,0,3,.000,0,1,.000,0,3,3,2,2,0,1,1,8,-4,5.1,oubreke01
50,Josh Hart,NYK,@,ORL,L,29:16,3,7,.429,1,3,.333,0,0,,1,4,5,2,1,0,1,4,7,-10,5.0,hartjo01
51,Terry Rozier,CHO,@,NOP,L,9:34,2,4,.500,1,3,.333,0,0,,0,4,4,2,1,0,1,2,5,-13,4.8,roziete01
52,Day'Ron Sharpe,BRK,,CLE,L,14:23,3,5,.600,0,1,.000,0,1,.000,1,2,3,2,0,2,2,2,6,+2,4.6,sharpda01
53,JT Thor,CHO,@,NOP,L,27:11,3,5,.600,2,3,.667,1,2,.500,0,3,3,0,1,2,4,3,9,-21,4.4,thorjt01
54,Kai Jones,CHO,@,NOP,L,19:41,2,3,.667,0,0,,0,0,,0,4,4,0,0,1,0,1,4,-4,4.2,joneska01
55,Cedi Osman,CLE,@,BRK,W,22:07,3,7,.429,1,5,.200,1,2,.500,0,2,2,0,0,1,0,3,8,-1,4.0,osmande01
56,Jeremiah Robinson-Earl,OKC,@,LAC,L,11:15,2,5,.400,0,1,.000,0,0,,3,1,4,0,0,0,0,0,4,-2,3.7,robinje02
57,Olivier Sarr,OKC,@,LAC,L,8:10,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,2,3,-2,3.6,sarrol01
58,Goga Bitadze,ORL,,NYK,W,13:51,1,1,1.000,0,0,,0,0,,1,4,5,1,0,0,0,2,2,+14,3.5,bitadgo01
59,Marcus Morris,LAC,,OKC,W,24:51,3,10,.300,0,4,.000,0,0,,1,3,4,3,1,0,1,1,6,-9,3.5,morrima03
60,Ricky Rubio,CLE,@,BRK,W,19:39,0,1,.000,0,1,.000,0,0,,0,0,0,7,0,0,0,2,0,-6,3.4,rubiori01
61,Lindy Waters,OKC,@,LAC,L,22:03,2,7,.286,2,7,.286,0,0,,1,1,2,1,0,0,0,1,6,-14,3.2,waterli01
62,Mason Plumlee,LAC,,OKC,W,24:15,1,2,.500,0,0,,0,0,,0,7,7,0,0,1,1,0,2,+28,2.8,plumlma01
63,Josh Richardson,NOP,,CHO,W,20:23,1,3,.333,1,2,.500,0,0,,1,4,5,2,0,0,1,2,3,+17,2.8,richajo01
64,Garrett Temple,NOP,,CHO,W,2:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3,2.7,templga01
65,Herbert Jones,NOP,,CHO,W,28:34,1,5,.200,0,1,.000,0,0,,2,1,3,2,1,0,0,1,2,+12,2.6,joneshe01
66,Eric Gordon,LAC,,OKC,W,22:12,3,9,.333,2,5,.400,0,1,.000,1,2,3,2,0,0,2,2,8,-10,2.4,gordoer01
67,Cameron Johnson,BRK,,CLE,L,22:27,1,6,.167,1,4,.250,2,2,1.000,1,2,3,1,2,0,2,2,5,-3,2.4,johnsca02
68,Lamar Stevens,CLE,@,BRK,W,3:41,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-8,2.3,stevela01
69,Tre Mann,OKC,@,LAC,L,8:53,2,6,.333,1,4,.250,0,0,,1,1,2,2,0,0,2,0,5,-4,2.0,manntr01
70,Miles McBride,NYK,@,ORL,L,6:13,1,3,.333,1,3,.333,0,0,,0,0,0,1,1,0,1,0,3,-12,2.0,mcbrimi01
71,Dorian Finney-Smith,BRK,,CLE,L,21:32,0,6,.000,0,4,.000,4,4,1.000,3,2,5,1,0,2,3,0,4,+3,1.6,finnedo01
72,Larry Nance,NOP,,CHO,W,11:46,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,1,0,+8,1.2,nancela02
73,Obi Toppin,NYK,@,ORL,L,12:22,2,7,.286,1,5,.200,0,0,,0,2,2,0,0,0,0,1,5,-25,1.1,toppiob01
74,Dyson Daniels,NOP,,CHO,W,11:45,1,4,.250,0,2,.000,0,0,,0,3,3,1,1,0,1,1,2,-1,0.8,daniedy01
75,Amir Coffey,LAC,,OKC,W,4:32,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3,0.7,coffeam01
76,Dario Šarić,OKC,@,LAC,L,3:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3,0.7,saricda01
77,Jaxson Hayes,NOP,,CHO,W,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,0.0,hayesja02
78,RJ Barrett,NYK,@,ORL,L,29:45,3,12,.250,0,3,.000,4,6,.667,0,2,2,3,0,0,5,1,10,-15,-0.7,barrerj01
79,Kira Lewis,NOP,,CHO,W,2:12,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-3,-0.7,lewiski01
80,Luguentz Dort,OKC,@,LAC,L,29:51,1,11,.091,1,4,.250,0,0,,2,4,6,2,2,0,1,4,3,0,-0.9,dortlu01
81,Seth Curry,BRK,,CLE,L,5:53,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-11,-1.1,curryse01
82,Aaron Wiggins,OKC,@,LAC,L,12:39,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,1,3,3,-6,-1.3,wiggiaa01
83,Willy Hernangómez,NOP,,CHO,W,2:12,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-3,-2.2,hernawi01
84,Isaiah Joe,OKC,@,LAC,L,17:16,0,4,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,1,0,-30,-2.5,joeis01
